"","origin","host_class","host_order","host_family","host_genus","host_species","virus_family","virus_genus"
"1","Genbank","Mammalia","Chiroptera","Phyllostomidae","Anoura","Anoura caudifer","Coronaviridae","Alphacoronavirus"
"2","Genbank","Mammalia","Rodentia","Muridae","Apodemus","Apodemus chevrieri","Coronaviridae","Alphacoronavirus"
"3","Genbank","Mammalia","Chiroptera","Phyllostomidae","Artibeus","Artibeus jamaicensis","Coronaviridae","Alphacoronavirus"
"4","Genbank","Mammalia","Chiroptera","Phyllostomidae","Artibeus","Artibeus lituratus","Coronaviridae","Alphacoronavirus"
"5","Genbank","Mammalia","Artiodactyla","Camelidae","Camelus","Camelus dromedarius","Coronaviridae","Alphacoronavirus"
"6","Genbank","Mammalia","Carnivora","Canidae","Canis","Canis lupus","Coronaviridae","Alphacoronavirus"
"7","Genbank","Mammalia","Carnivora","Canidae","Canis","Canis mesomelas","Coronaviridae","Alphacoronavirus"
"8","Genbank","Mammalia","Chiroptera","Megadermatidae","Cardioderma","Cardioderma cor","Coronaviridae","Alphacoronavirus"
"9","Genbank","Mammalia","Chiroptera","Phyllostomidae","Carollia","Carollia brevicauda","Coronaviridae","Alphacoronavirus"
"10","Genbank","Mammalia","Chiroptera","Phyllostomidae","Carollia","Carollia perspicillata","Coronaviridae","Alphacoronavirus"
"11","Genbank","Mammalia","Chiroptera","Molossidae","Chaerephon","Chaerephon pumilus","Coronaviridae","Alphacoronavirus"
"12","Genbank","Mammalia","Chiroptera","Vespertilionidae","Chalinolobus","Chalinolobus gouldii","Coronaviridae","Alphacoronavirus"
"13","Genbank","Mammalia","Chiroptera","Vespertilionidae","Chalinolobus","Chalinolobus morio","Coronaviridae","Alphacoronavirus"
"14","Genbank","Mammalia","Soricomorpha","Soricidae","Crocidura","Crocidura attenuata","Coronaviridae","Alphacoronavirus"
"15","Genbank","Mammalia","Carnivora","Hyaenidae","Crocuta","Crocuta crocuta","Coronaviridae","Alphacoronavirus"
"16","Genbank","Mammalia","Chiroptera","Molossidae","Cynomops","Cynomops abrasus","Coronaviridae","Alphacoronavirus"
"17","Genbank","Mammalia","Chiroptera","Molossidae","Cynomops","Cynomops planirostris","Coronaviridae","Alphacoronavirus"
"18","Genbank","Mammalia","Chiroptera","Pteropodidae","Cynopterus","Cynopterus sphinx","Coronaviridae","Alphacoronavirus"
